batsmen,bowler,balls,wickets
AB de Villiers,Amit Mishra,11,0
AB de Villiers,Andre Russell,4,0
AB de Villiers,Andrew Tye,8,1
AB de Villiers,Axar Patel,9,1
AB de Villiers,Basil Thampi,6,1
AB de Villiers,Ben Laughlin,7,1
AB de Villiers,Chris Morris,8,1
AB de Villiers,Dwayne Bravo,1,1
AB de Villiers,Harbhajan Singh,6,1
AB de Villiers,Harshal Patel,21,1
AB de Villiers,Imran Tahir,10,1
AB de Villiers,Ish Sodhi,13,1
AB de Villiers,Jaydev Unadkat,6,1
AB de Villiers,Jofra Archer,6,1
AB de Villiers,Junior Dala,1,1
AB de Villiers,Krishnappa Gowtham,1,1
AB de Villiers,Kuldeep Yadav,4,1
AB de Villiers,Mitchell Johnson,6,1
AB de Villiers,Mitchell McClenaghan,2,1
AB de Villiers,Mohit Sharma,12,1
AB de Villiers,Mujeeb Ur Rahman,7,1
AB de Villiers,Nitish Rana,2,1
AB de Villiers,Piyush Chawla,2,1
AB de Villiers,Rahul Tewatia,10,1
AB de Villiers,Rashid Khan,10,2
AB de Villiers,Ravichandran Ashwin,4,2
AB de Villiers,Ravindra Jadeja,5,2
AB de Villiers,Sandeep Lamichhane,8,2
AB de Villiers,Sandeep Sharma,12,2
AB de Villiers,Shahbaz Nadeem,7,2
AB de Villiers,Shakib Al Hasan,15,2
AB de Villiers,Shane Watson,4,2
AB de Villiers,Shardul Thakur,9,2
AB de Villiers,Shreyas Gopal,21,2
AB de Villiers,Siddarth Kaul,7,2
AB de Villiers,Sunil Narine,5,2
AB de Villiers,Trent Boult,11,2
Aaron Finch,Avesh Khan,1,1
Aaron Finch,Colin de Grandhomme,6,1
Aaron Finch,Deepak Chahar,4,1
Aaron Finch,Hardik Pandya,10,1
Aaron Finch,Imran Tahir,1,1
Aaron Finch,Jasprit Bumrah,4,1
Aaron Finch,Javon Searles,4,1
Aaron Finch,Krunal Pandya,11,1
Aaron Finch,Kuldeep Yadav,6,1
Aaron Finch,Lungi Ngidi,2,1
Aaron Finch,Mayank Markande,7,1
Aaron Finch,Mitchell McClenaghan,3,1
Aaron Finch,Moeen Ali,4,1
Aaron Finch,Mohammed Siraj,8,1
Aaron Finch,Piyush Chawla,6,1
Aaron Finch,Rashid Khan,4,1
Aaron Finch,Shakib Al Hasan,3,1
Aaron Finch,Siddarth Kaul,3,1
Aaron Finch,Sunil Narine,4,1
Aaron Finch,Trent Boult,3,1
Aaron Finch,Umesh Yadav,1,1
Aaron Finch,Yuzvendra Chahal,7,1
Ajinkya Rahane,Andre Russell,14,0
Ajinkya Rahane,Andrew Tye,3,1
Ajinkya Rahane,Ankit Rajpoot,1,1
Ajinkya Rahane,Axar Patel,5,1
Ajinkya Rahane,Basil Thampi,1,1
Ajinkya Rahane,Bhuvneshwar Kumar,3,1
Ajinkya Rahane,Billy Stanlake,2,1
Ajinkya Rahane,Chris Morris,4,1
Ajinkya Rahane,Chris Woakes,8,1
Ajinkya Rahane,Colin de Grandhomme,5,1
Ajinkya Rahane,Deepak Chahar,11,1
Ajinkya Rahane,Hardik Pandya,6,1
Ajinkya Rahane,Jasprit Bumrah,8,1
Ajinkya Rahane,Javon Searles,2,1
Ajinkya Rahane,Krunal Pandya,17,1
Ajinkya Rahane,Kuldeep Yadav,15,2
Ajinkya Rahane,Marcus Stoinis,1,2
Ajinkya Rahane,Mayank Markande,3,2
Ajinkya Rahane,Mitchell McClenaghan,18,1
Ajinkya Rahane,Moeen Ali,2,1
Ajinkya Rahane,Mohammed Shami,11,1
Ajinkya Rahane,Mohammed Siraj,5,1
Ajinkya Rahane,Mohit Sharma,4,1
Ajinkya Rahane,Mujeeb Ur Rahman,3,1
Ajinkya Rahane,Mustafizur Rahman,2,1
Ajinkya Rahane,Nitish Rana,2,1
Ajinkya Rahane,Piyush Chawla,15,1
Ajinkya Rahane,Prasidh Krishna,9,1
Ajinkya Rahane,Rahul Tewatia,8,1
Ajinkya Rahane,Rashid Khan,14,1
Ajinkya Rahane,Ravindra Jadeja,3,1
Ajinkya Rahane,Sandeep Sharma,10,1
Ajinkya Rahane,Shahbaz Nadeem,9,1
Ajinkya Rahane,Shakib Al Hasan,16,1
Ajinkya Rahane,Shardul Thakur,2,1
Ajinkya Rahane,Shivam Mavi,2,1
Ajinkya Rahane,Siddarth Kaul,14,1
Ajinkya Rahane,Sunil Narine,14,1
Ajinkya Rahane,Tim Southee,7,1
Ajinkya Rahane,Trent Boult,8,1
Ajinkya Rahane,Umesh Yadav,17,1
Ajinkya Rahane,Washington Sundar,6,1
Ajinkya Rahane,Yusuf Pathan,7,1
Ajinkya Rahane,Yuzvendra Chahal,6,1
Akila Dananjaya,Mohammed Shami,3,0
Akila Dananjaya,Trent Boult,2,0
Akshdeep Nath,Ish Sodhi,6,1
Akshdeep Nath,Jaydev Unadkat,2,1
Akshdeep Nath,Jofra Archer,1,1
Akshdeep Nath,Mahipal Lomror,4,1
Alex Hales,Amit Mishra,7,1
Alex Hales,Avesh Khan,9,1
Alex Hales,Ben Stokes,8,1
Alex Hales,Dan Christian,3,1
Alex Hales,David Willey,1,1
Alex Hales,Deepak Chahar,7,1
Alex Hales,Dhawal Kulkarni,6,1
Alex Hales,Glenn Maxwell,3,1
Alex Hales,Harshal Patel,4,1
Alex Hales,Ish Sodhi,6,1
Alex Hales,Jaydev Unadkat,4,1
Alex Hales,Jofra Archer,3,1
Alex Hales,Krishnappa Gowtham,8,1
Alex Hales,Liam Plunkett,4,1
Alex Hales,Mahipal Lomror,4,1
Alex Hales,Moeen Ali,7,1
Alex Hales,Mohammed Siraj,3,1
Alex Hales,Shardul Thakur,1,1
Alex Hales,Tim Southee,3,1
Alex Hales,Trent Boult,12,1
Alex Hales,Umesh Yadav,10,1
Alex Hales,Yuzvendra Chahal,6,1
Ambati Rayudu,Amit Mishra,12,0
Ambati Rayudu,Andre Russell,13,0
Ambati Rayudu,Andrew Tye,5,0
Ambati Rayudu,Ankit Rajpoot,1,0
Ambati Rayudu,Ankit Sharma,4,0
Ambati Rayudu,Avesh Khan,17,0
Ambati Rayudu,Barinder Sran,6,1
Ambati Rayudu,Ben Cutting,5,1
Ambati Rayudu,Ben Laughlin,2,1
Ambati Rayudu,Ben Stokes,4,1
Ambati Rayudu,Bhuvneshwar Kumar,21,1
Ambati Rayudu,Billy Stanlake,7,1
Ambati Rayudu,Carlos Brathwaite,4,1
Ambati Rayudu,Colin de Grandhomme,3,1
Ambati Rayudu,Corey Anderson,10,1
Ambati Rayudu,Deepak Hooda,3,1
Ambati Rayudu,Glenn Maxwell,4,1
Ambati Rayudu,Hardik Pandya,17,1
Ambati Rayudu,Harshal Patel,6,1
Ambati Rayudu,Jasprit Bumrah,7,1
Ambati Rayudu,Jofra Archer,1,1
Ambati Rayudu,Krishnappa Gowtham,5,1
Ambati Rayudu,Krunal Pandya,5,1
Ambati Rayudu,Kuldeep Yadav,4,1
Ambati Rayudu,Liam Plunkett,4,1
Ambati Rayudu,Mayank Markande,8,1
Ambati Rayudu,Mitchell Johnson,5,1
Ambati Rayudu,Mitchell McClenaghan,11,1
Ambati Rayudu,Mohammed Siraj,13,1
Ambati Rayudu,Mohit Sharma,6,1
Ambati Rayudu,Mujeeb Ur Rahman,8,1
Ambati Rayudu,Murugan Ashwin,1,1
Ambati Rayudu,Mustafizur Rahman,2,1
Ambati Rayudu,Pawan Negi,6,1
Ambati Rayudu,Piyush Chawla,12,1
Ambati Rayudu,Rashid Khan,33,1
Ambati Rayudu,Ravichandran Ashwin,11,1
Ambati Rayudu,Sam Curran,1,1
Ambati Rayudu,Sandeep Sharma,8,1
Ambati Rayudu,Shakib Al Hasan,22,1
Ambati Rayudu,Siddarth Kaul,23,2
Ambati Rayudu,Stuart Binny,1,2
Ambati Rayudu,Sunil Narine,8,1
Ambati Rayudu,Tim Southee,10,1
Ambati Rayudu,Trent Boult,7,1
Ambati Rayudu,Umesh Yadav,15,1
Ambati Rayudu,Vijay Shankar,5,1
Ambati Rayudu,Washington Sundar,5,1
Ambati Rayudu,Yuvraj Singh,3,1
Ambati Rayudu,Yuzvendra Chahal,16,1
Amit Mishra,Barinder Sran,2,0
Andre Russell,Amit Mishra,5,1
Andre Russell,Andrew Tye,8,1
Andre Russell,Avesh Khan,10,1
Andre Russell,Axar Patel,5,1
Andre Russell,Barinder Sran,5,1
Andre Russell,Ben Laughlin,11,1
Andre Russell,Ben Stokes,1,1
Andre Russell,Billy Stanlake,2,1
Andre Russell,Carlos Brathwaite,1,1
Andre Russell,Chris Morris,2,1
Andre Russell,Chris Woakes,6,1
Andre Russell,Dwayne Bravo,14,1
Andre Russell,Hardik Pandya,4,1
Andre Russell,Imran Tahir,8,1
Andre Russell,Ish Sodhi,5,1
Andre Russell,Jasprit Bumrah,2,1
Andre Russell,Jaydev Unadkat,5,1
Andre Russell,Jofra Archer,10,1
Andre Russell,Liam Plunkett,8,1
Andre Russell,Mayank Markande,5,1
Andre Russell,Mitchell McClenaghan,3,1
Andre Russell,Mohammed Shami,9,1
Andre Russell,Mohammed Siraj,1,1
Andre Russell,Mohit Sharma,4,1
Andre Russell,Mujeeb Ur Rahman,1,1
Andre Russell,Rahul Tewatia,5,1
Andre Russell,Rashid Khan,5,1
Andre Russell,Shakib Al Hasan,5,1
Andre Russell,Shane Watson,7,1
Andre Russell,Shardul Thakur,7,1
Andre Russell,Siddarth Kaul,3,1
Andre Russell,Trent Boult,5,1
Andre Russell,Umesh Yadav,7,1
Andrew Tye,Andre Russell,1,0
Andrew Tye,Chris Woakes,3,1
Andrew Tye,Dan Christian,2,1
Andrew Tye,Dwayne Bravo,4,1
Andrew Tye,Javon Searles,2,1
Andrew Tye,Jaydev Unadkat,1,1
Andrew Tye,Liam Plunkett,3,1
Andrew Tye,Lungi Ngidi,2,1
Andrew Tye,Prasidh Krishna,6,1
Andrew Tye,Sandeep Sharma,2,1
Andrew Tye,Sunil Narine,2,1
Andrew Tye,Trent Boult,4,1
Andrew Tye,Umesh Yadav,6,1
Andrew Tye,Washington Sundar,2,1
Ankit Rajpoot,Basil Thampi,1,1
Ankit Rajpoot,Dwayne Bravo,1,1
Ankit Rajpoot,Mohammed Siraj,5,1
Ankit Rajpoot,Rashid Khan,3,1
Ankit Rajpoot,Shardul Thakur,3,1
Ankit Rajpoot,Siddarth Kaul,5,1
Ankit Sharma,Ben Cutting,2,0
Ankit Sharma,Jasprit Bumrah,4,0
Ankit Sharma,Krunal Pandya,1,0
Ankit Sharma,Mohammed Siraj,11,0
Ankit Sharma,Mustafizur Rahman,4,0
Ankit Sharma,Ravindra Jadeja,1,0
Ankit Sharma,Shardul Thakur,3,1
Ankit Sharma,Tim Southee,9,1
Anureet Singh,Andre Russell,1,0
Anureet Singh,Prasidh Krishna,3,0
Axar Patel,Anureet Singh,4,1
Axar Patel,Ben Cutting,3,1
Axar Patel,Colin de Grandhomme,4,1
Axar Patel,Dwayne Bravo,5,1
Axar Patel,Jasprit Bumrah,6,1
Axar Patel,Javon Searles,4,1
Axar Patel,Jaydev Unadkat,2,1
Axar Patel,Krishnappa Gowtham,4,1
Axar Patel,Krunal Pandya,2,1
Axar Patel,Kuldeep Yadav,5,1
Axar Patel,Kulwant Khejroliya,2,1
Axar Patel,Mayank Markande,3,1
Axar Patel,Mitchell McClenaghan,6,1
Axar Patel,Moeen Ali,4,1
Axar Patel,Mohammed Siraj,2,1
Axar Patel,Ravindra Jadeja,5,1
Axar Patel,Shardul Thakur,2,1
Axar Patel,Sunil Narine,3,1
Axar Patel,Umesh Yadav,2,1
Axar Patel,Washington Sundar,1,1
Axar Patel,Yuzvendra Chahal,2,1
Barinder Sran,Prasidh Krishna,1,0
Barinder Sran,Sandeep Sharma,1,0
Barinder Sran,Siddarth Kaul,4,1
Barinder Sran,Trent Boult,1,1
Basil Thampi,Jasprit Bumrah,2,0
Basil Thampi,Mayank Markande,1,1
Basil Thampi,Mustafizur Rahman,3,1
Ben Cutting,Amit Mishra,3,0
Ben Cutting,Andrew Tye,3,0
Ben Cutting,Ben Stokes,3,0
Ben Cutting,Billy Stanlake,1,0
Ben Cutting,Harshal Patel,2,1
Ben Cutting,Jaydev Unadkat,1,1
Ben Cutting,Jofra Archer,3,1
Ben Cutting,Liam Plunkett,5,1
Ben Cutting,Mohammed Siraj,1,1
Ben Cutting,Piyush Chawla,5,1
Ben Cutting,Prasidh Krishna,5,1
Ben Cutting,Rashid Khan,3,1
Ben Cutting,Ravichandran Ashwin,4,1
Ben Cutting,Sandeep Lamichhane,2,1
Ben Cutting,Shakib Al Hasan,2,1
Ben Cutting,Siddarth Kaul,3,1
Ben Cutting,Tim Southee,5,1
Ben Cutting,Trent Boult,8,1
Ben Laughlin,Karn Sharma,1,1
Ben Laughlin,Siddarth Kaul,3,1
Ben Stokes,Andrew Tye,4,1
Ben Stokes,Billy Stanlake,4,1
Ben Stokes,Chris Morris,5,1
Ben Stokes,Deepak Chahar,7,1
Ben Stokes,Dwayne Bravo,5,1
Ben Stokes,Harbhajan Singh,4,1
Ben Stokes,Hardik Pandya,4,1
Ben Stokes,Imran Tahir,15,1
Ben Stokes,Jasprit Bumrah,3,1
Ben Stokes,Krunal Pandya,4,1
Ben Stokes,Kuldeep Yadav,12,1
Ben Stokes,Kulwant Khejroliya,9,1
Ben Stokes,Mayank Markande,6,1
Ben Stokes,Mitchell McClenaghan,5,1
Ben Stokes,Mohit Sharma,1,1
Ben Stokes,Mujeeb Ur Rahman,8,1
Ben Stokes,Mustafizur Rahman,7,1
Ben Stokes,Nitish Rana,1,1
Ben Stokes,Piyush Chawla,1,1
Ben Stokes,Rashid Khan,4,1
Ben Stokes,Ravichandran Ashwin,7,1
Ben Stokes,Ravindra Jadeja,3,1
Ben Stokes,Shahbaz Nadeem,2,1
Ben Stokes,Shane Watson,7,1
Ben Stokes,Shardul Thakur,4,1
Ben Stokes,Shivam Mavi,4,1
Ben Stokes,Siddarth Kaul,2,1
Ben Stokes,Sunil Narine,6,1
Ben Stokes,Trent Boult,8,2
Ben Stokes,Umesh Yadav,5,2
Ben Stokes,Washington Sundar,6,2
Ben Stokes,Yusuf Pathan,1,1
Ben Stokes,Yuzvendra Chahal,2,1
Bhuvneshwar Kumar,Dwayne Bravo,6,0
Bhuvneshwar Kumar,Lungi Ngidi,6,0
Bhuvneshwar Kumar,Prasidh Krishna,3,1
Bhuvneshwar Kumar,Shardul Thakur,1,1
Bhuvneshwar Kumar,Tim Southee,2,1
Billy Stanlake,Ben Cutting,2,0
Brendon McCullum,Andre Russell,3,1
Brendon McCullum,Axar Patel,1,1
Brendon McCullum,David Willey,2,1
Brendon McCullum,Hardik Pandya,4,1
Brendon McCullum,Jasprit Bumrah,2,1
Brendon McCullum,Krishnappa Gowtham,4,1
Brendon McCullum,Krunal Pandya,8,1
Brendon McCullum,Kuldeep Yadav,12,1
Brendon McCullum,Lungi Ngidi,2,1
Brendon McCullum,Mayank Markande,7,1
Brendon McCullum,Mitchell Johnson,9,1
Brendon McCullum,Mitchell McClenaghan,3,1
Brendon McCullum,Piyush Chawla,20,1
Brendon McCullum,R Vinay Kumar,6,1
Brendon McCullum,Shivam Mavi,3,1
Brendon McCullum,Sunil Narine,4,1
Carlos Brathwaite,Andre Russell,1,1
Carlos Brathwaite,Dwayne Bravo,10,1
Carlos Brathwaite,Lungi Ngidi,11,1
Carlos Brathwaite,Prasidh Krishna,7,1
Carlos Brathwaite,Ravindra Jadeja,5,1
Carlos Brathwaite,Shardul Thakur,19,1
Carlos Brathwaite,Sunil Narine,1,1
Chris Gayle,Andre Russell,15,1
Chris Gayle,Basil Thampi,5,1
Chris Gayle,Ben Cutting,3,1
Chris Gayle,Bhuvneshwar Kumar,11,1
Chris Gayle,Chris Anderson,13,1
Chris Gayle,Deepak Chahar,10,1
Chris Gayle,Deepak Hooda,9,1
Chris Gayle,Dwayne Bravo,2,1
Chris Gayle,Harbhajan Singh,12,1
Chris Gayle,Hardik Pandya,19,1
Chris Gayle,Imran Tahir,3,1
Chris Gayle,JP Duminy,3,1
Chris Gayle,Jasprit Bumrah,10,1
Chris Gayle,Javon Searles,3,1
Chris Gayle,Jofra Archer,7,1
Chris Gayle,Krishnappa Gowtham,6,1
Chris Gayle,Kuldeep Yadav,3,1
Chris Gayle,Lungi Ngidi,2,1
Chris Gayle,Mayank Markande,6,1
Chris Gayle,Mitchell McClenaghan,14,1
Chris Gayle,Mohammad Nabi,7,1
Chris Gayle,Nitish Rana,1,1
Chris Gayle,Piyush Chawla,7,1
Chris Gayle,Prasidh Krishna,4,1
Chris Gayle,Rashid Khan,18,1
Chris Gayle,Sam Curran,1,1
Chris Gayle,Sandeep Sharma,6,1
Chris Gayle,Shakib Al Hasan,6,1
Chris Gayle,Shane Watson,3,1
Chris Gayle,Shardul Thakur,4,1
Chris Gayle,Shivam Mavi,13,1
Chris Gayle,Siddarth Kaul,12,1
Chris Gayle,Sunil Narine,9,1
Chris Gayle,Tim Southee,5,1
Chris Gayle,Umesh Yadav,9,1
Chris Lynn,Andrew Tye,8,2
Chris Lynn,Ankit Rajpoot,5,2
Chris Lynn,Anureet Singh,2,2
Chris Lynn,Barinder Sran,12,2
Chris Lynn,Ben Stokes,11,1
Chris Lynn,Bhuvneshwar Kumar,18,1
Chris Lynn,Billy Stanlake,8,1
Chris Lynn,Carlos Brathwaite,10,1
Chris Lynn,Chris Morris,5,1
Chris Lynn,Chris Woakes,5,1
Chris Lynn,Deepak Chahar,3,1
Chris Lynn,Glenn Maxwell,1,1
Chris Lynn,Harbhajan Singh,3,1
Chris Lynn,Imran Tahir,2,1
Chris Lynn,Ish Sodhi,12,1
Chris Lynn,Jasprit Bumrah,5,1
Chris Lynn,Jaydev Unadkat,10,1
Chris Lynn,Jofra Archer,10,1
Chris Lynn,Khaleel Ahmed,2,1
Chris Lynn,Krishnappa Gowtham,17,1
Chris Lynn,Krunal Pandya,5,1
Chris Lynn,Lungi Ngidi,6,1
Chris Lynn,Mitchell McClenaghan,18,1
Chris Lynn,Mohammed Shami,4,1
Chris Lynn,Mohammed Siraj,11,1
Chris Lynn,Mohit Sharma,8,1
Chris Lynn,Mujeeb Ur Rahman,13,1
Chris Lynn,Murugan Ashwin,10,1
Chris Lynn,Rahul Tewatia,3,1
Chris Lynn,Rashid Khan,19,1
Chris Lynn,Ravichandran Ashwin,9,1
Chris Lynn,Ravindra Jadeja,6,1
Chris Lynn,Sandeep Sharma,3,1
Chris Lynn,Shahbaz Nadeem,8,1
Chris Lynn,Shakib Al Hasan,23,1
Chris Lynn,Shane Watson,2,1
Chris Lynn,Shreyas Gopal,5,1
Chris Lynn,Siddarth Kaul,26,1
Chris Lynn,Tim Southee,8,1
Chris Lynn,Trent Boult,14,1
Chris Lynn,Umesh Yadav,8,1
Chris Lynn,Yuvraj Singh,3,1
Chris Lynn,Yuzvendra Chahal,21,1
Chris Morris,Andrew Tye,2,0
Chris Morris,Ben Laughlin,5,0
Chris Morris,Jaydev Unadkat,2,0
Chris Morris,Kuldeep Yadav,1,0
Chris Morris,Mohit Sharma,8,0
Chris Morris,Mujeeb Ur Rahman,4,0
Chris Morris,Ravichandran Ashwin,2,0
Chris Morris,Sunil Narine,2,1
Chris Woakes,Andrew Tye,2,0
Chris Woakes,Ben Stokes,1,0
Chris Woakes,Hardik Pandya,4,0
Chris Woakes,Jasprit Bumrah,2,1
Chris Woakes,Mayank Markande,1,1
Chris Woakes,Mitchell Johnson,4,1
Chris Woakes,Mitchell McClenaghan,1,1
Chris Woakes,Mustafizur Rahman,3,1
Chris Woakes,R Vinay Kumar,1,1
Colin Munro,Dhawal Kulkarni,1,1
Colin Munro,KM Asif,5,1
Colin Munro,Kuldeep Yadav,4,1
Colin Munro,Lungi Ngidi,7,1
Colin Munro,Mitchell Johnson,1,1
Colin Munro,Mohit Sharma,2,1
Colin Munro,Mujeeb Ur Rahman,1,1
Colin Munro,Piyush Chawla,3,1
Colin Munro,Ravichandran Ashwin,3,1
Colin Munro,Shane Watson,4,1
Colin Munro,Shivam Mavi,5,1
Colin Munro,Sunil Narine,5,1
Colin de Grandhomme,Basil Thampi,9,0
Colin de Grandhomme,Bhuvneshwar Kumar,8,1
Colin de Grandhomme,David Willey,1,1
Colin de Grandhomme,Dwayne Bravo,2,1
Colin de Grandhomme,Harbhajan Singh,5,1
Colin de Grandhomme,Hardik Pandya,1,1
Colin de Grandhomme,Harshal Patel,2,1
Colin de Grandhomme,Imran Tahir,3,1
Colin de Grandhomme,Ish Sodhi,2,1
Colin de Grandhomme,Jasprit Bumrah,4,1
Colin de Grandhomme,Mitchell Johnson,2,1
Colin de Grandhomme,Mitchell McClenaghan,4,1
Colin de Grandhomme,Rashid Khan,6,1
Colin de Grandhomme,Ravindra Jadeja,3,1
Colin de Grandhomme,Sandeep Sharma,5,1
Colin de Grandhomme,Shakib Al Hasan,6,1
Colin de Grandhomme,Shardul Thakur,1,1
Colin de Grandhomme,Shivam Mavi,5,1
Colin de Grandhomme,Shreyas Gopal,1,1
Colin de Grandhomme,Siddarth Kaul,13,1
Colin de Grandhomme,Trent Boult,3,1
Corey Anderson,Chris Morris,2,0
Corey Anderson,Dwayne Bravo,5,0
Corey Anderson,Harshal Patel,1,0
Corey Anderson,Imran Tahir,3,1
Corey Anderson,Krunal Pandya,1,1
Corey Anderson,Rahul Tewatia,6,1
Corey Anderson,Trent Boult,4,1
D'Arcy Short,Amit Mishra,6,0
D'Arcy Short,Avesh Khan,2,0
D'Arcy Short,Bhuvneshwar Kumar,5,1
